,eventID,groupID,RP_hit_in_group,Max_line_no
45,21,1,3,1
65,30,5,3,3
77,36,2,3,1
104,48,2,3,1
115,53,4,3,1
122,57,2,3,4
189,92,2,3,2
205,99,5,3,1
238,115,2,3,1
242,117,2,3,1
282,136,5,3,1
287,138,4,3,1
313,149,5,3,1
319,152,1,3,1
331,158,4,3,4
332,158,5,3,3
343,163,4,3,1
355,170,4,3,1
361,174,1,3,1
370,178,5,3,1
383,185,2,3,1
396,189,5,3,1
416,199,4,3,1
441,214,2,3,2
476,230,1,3,1
531,257,1,3,1
547,264,5,3,1
556,269,1,3,1
565,273,1,3,1
578,281,2,3,1
579,281,4,3,1
592,288,1,3,1
595,289,5,3,1
617,301,5,3,3
625,306,5,3,1
638,313,2,3,1
653,320,2,3,1
660,323,5,3,1
685,336,2,3,1
744,366,5,3,3
788,388,1,3,1
791,388,5,3,2
798,392,1,3,1
801,393,5,3,1
842,412,1,3,1
851,416,4,3,1
860,422,2,3,1
862,423,1,3,1
939,460,1,3,1
1002,493,1,3,6
1009,496,2,3,3
1054,517,5,3,1
1100,541,2,3,1
1120,550,5,3,5
1122,551,4,3,1
1130,555,1,3,1
1209,593,4,3,1
1211,594,5,3,1
1214,596,2,3,1
1222,600,1,3,1
1244,611,4,3,1
1324,649,1,3,2
1327,650,2,3,1
1328,650,4,3,1
1384,679,1,3,1
1392,683,1,3,1
1413,692,2,3,1
1426,698,5,3,1
1445,706,1,3,1
1468,717,4,3,2
1473,720,2,3,1
1479,723,1,3,1
1587,775,1,3,1
1612,786,5,3,4
1632,796,5,3,4
1641,801,1,3,1
1662,810,5,3,1
1670,814,4,3,1
1677,819,2,3,1
1682,821,5,3,1
1706,835,3,3,1
1715,840,2,3,1
1720,842,2,3,1
1755,858,4,3,1
1793,876,5,3,1
1858,909,1,3,1
1875,917,1,3,1
1888,921,4,3,1
1918,935,5,3,10
1929,941,2,3,1
2006,978,4,3,1
