,rpId,direction,x,y,z,dx,dy
0,0,u,0.51389,56.0044,-203.379,-0.707107,0.707107
1,0,v,-0.51389,56.0044,-203.375,0.707107,0.707107
2,1,u,-0.51389,-56.3534,-203.379,0.707107,-0.707107
3,1,v,0.51389,-56.3534,-203.375,-0.707107,-0.707107
4,2,u,57.1404,-0.51389,-203.829,0.707107,0.707107
5,2,v,57.1404,0.51389,-203.825,0.707107,-0.707107
6,3,u,21.74618,2.876036,-212.552,0.6064622,0.7951122
7,3,v,21.60294,3.89443,-212.548,0.7951122,-0.6064624
8,4,u,-2.437634,19.82982,-213.002,-0.797949,0.6027252
9,4,v,-3.454864,19.68636,-212.998,0.6027248,0.7979484
10,5,u,2.546354,-20.20066,-213.002,0.7991314,-0.6011558
11,5,v,3.56348,-20.05728,-212.998,-0.6011558,-0.7991314
12,20,u,-0.0507681094,20.32214,-214.63,-0.7070722,0.7071414
13,20,v,-1.078074,20.3216,-214.626,0.7071416,0.7070716
14,21,u,-0.898118,-20.58066,-214.63,0.707534,-0.7066792
15,21,v,0.142194,-20.59304,-214.626,-0.7066794,-0.7075338
16,22,u,21.67552,0.586708,-215.08,0.7122904,0.7018848
17,22,v,21.67552,1.614494,-215.076,0.7018842,-0.7122908
18,23,u,21.19746,-0.278718,-219.552,0.7085638,0.7056464
19,23,v,21.19666,0.747724,-219.548,0.705646,-0.7085644
20,24,u,0.381788,20.7756,-220.002,-0.7069678,0.7072452
21,24,v,-0.645592,20.776,-219.998,0.707246,0.7069676
22,25,u,-0.40791,-21.11116,-220.002,0.7069696,-0.7072438
23,25,v,0.61991,-21.11112,-219.998,-0.707244,-0.7069694
24,100,u,-0.51389,56.0124,203.379,0.707107,0.707107
25,100,v,0.51389,56.0124,203.375,-0.707107,0.707107
26,101,u,0.51389,-56.0594,203.379,-0.707107,-0.707107
27,101,v,-0.51389,-56.0594,203.375,0.707107,-0.707107
28,102,u,57.1294,0.51389,203.829,0.707107,-0.707107
29,102,v,57.1294,-0.51389,203.825,0.707107,0.707107
30,103,u,21.82386,3.882804,212.552,0.7966028,-0.6045028
31,103,v,21.96694,2.865158,212.548,0.604503,0.796603
32,104,u,-3.439496,19.78848,213.002,0.6020764,0.7984386
33,104,v,-2.421812,19.93142,212.998,-0.7984386,0.602076
34,105,u,3.699676,-20.13914,213.002,-0.6018238,-0.7986286
35,105,v,2.682096,-20.28232,212.998,0.798629,-0.6018238
36,120,u,0.11673404,21.85658,214.63,0.6930514,0.7208884
37,120,v,1.141626,21.85728,214.626,-0.7208884,0.6930512
38,121,u,0.39639,-20.74164,214.63,-0.7079242,-0.7062882
39,121,v,-0.632692,-20.74292,214.626,0.706288,-0.707924
40,122,u,21.76122,1.47296,215.08,0.7036512,-0.7105452
41,122,v,21.7615,0.445478,215.076,0.7105456,0.7036514
42,123,u,21.05368,0.390764,219.552,0.7042124,-0.709989
43,123,v,21.05346,-0.636692,219.548,0.7099894,0.704212
44,124,u,-1.085876,20.81138,220.002,0.7076778,0.706535
45,124,v,-0.0580661,20.8114,219.998,-0.7065352,0.7076774
46,125,u,-0.211598,-21.38792,220.002,-0.7058226,-0.7083882
47,125,v,-1.239076,-21.38812,219.998,0.7083878,-0.7058228
