,single_x,single_y,totem_x,totem_y,diff_x,diff_x [strip],diff_y,diff_y [strip],diff_total,diff_total [strip]
220,-0.813250003818366,-13.035491992177096,-0.5597703395203952,-13.056397889762433,0.25347966429797075,6.0,0.020905897585336675,1.0,0.25434031683250796,6.0
221,0.29769576387224195,-13.924795964188705,0.18223356874182794,-13.955406965779389,0.115462195130414,3.0,0.03061100159068353,1.0,0.11945104404197825,3.0
222,-0.41720024496828223,-12.49018279410147,-0.22317336830930312,-12.517954363091334,0.1940268766589791,5.0,0.027771568989864548,1.0,0.19600430839702862,5.0
223,0.22698104101609218,-21.626371441794348,0.19074435317294203,-21.649123515963268,0.03623668784315015,1.0,0.022752074168920444,1.0,0.04278731616764439,1.0
224,5.764099519558401,-11.229929635749432,3.722137887952476,-11.333468588822669,2.0419616316059246,44.0,0.10353895307323668,3.0,2.044584950486096,44.0
225,-0.5289506328739707,-7.956263191039456,-0.2621486793848513,-7.997866881379956,0.2668019534891194,6.0,0.04160369034049971,1.0,0.27002620138712174,6.0
226,0.002608978718547178,-12.062346249199797,0.04633978751960477,-12.075687891582433,0.04373080880105759,1.0,0.013341642382636465,1.0,0.045720707123368266,1.0
227,-0.059716546039575144,-9.24484854292924,-0.055862603271498834,-9.266116391227161,0.00385394276807631,1.0,0.02126784829792072,1.0,0.02161421398253883,1.0
228,0.6160433770498581,-9.269412504185976,0.4843025558151499,-9.304744761379958,0.1317408212347082,3.0,0.03533225719398203,1.0,0.136396526268146,3.0
229,-0.5352808877093407,-13.108285281190733,-0.46730362535149794,-13.148900467387163,0.06797726235784274,2.0,0.040615186196429676,1.0,0.07918649851734597,2.0
230,0.06107540030859712,-7.664147109235982,0.1377155496040383,-7.657562978869933,0.07664014929544119,2.0,0.006584130366048768,1.0,0.07692244962756088,2.0
231,0.012688792216011078,-9.647307445618198,0.014276480981825657,-9.681268372439389,0.0015876887658145787,1.0,0.033960926821190895,1.0,0.03399801915070019,1.0
232,-0.36965178543965865,-11.301389547181323,-0.2429408493514984,-11.338185351067162,0.12671093608816025,3.0,0.03679580388583936,1.0,0.13194541488033218,3.0
233,-0.33722037526961407,-11.155915106748818,-0.22543643810484948,-11.20870377481996,0.11178393716476459,3.0,0.05278866807114113,2.0,0.12362156804045625,3.0
234,0.07744290403631518,-7.540997345614142,-0.047385936024848974,-7.559219600659957,0.12482884006116415,3.0,0.018222255045815317,1.0,0.12615185250312594,3.0
235,0.21175639608411606,-7.265751999689224,0.16249204886071356,-7.296844215333534,0.049264347223402505,2.0,0.031092215644310528,1.0,0.05825548713228887,2.0
236,-0.22950224422523313,-8.654002374749668,-0.20179604555373043,-8.685803968888548,0.027706198671502702,1.0,0.03180159413888006,1.0,0.042177895094454736,1.0
237,0.5318967951416873,-10.863917010456976,0.3010246094862685,-10.887902277188546,0.23087218565541878,5.0,0.023985266731569865,1.0,0.2321147542262118,5.0
238,0.3370714535213717,-12.442607026108465,0.326281638719605,-12.449094507582432,0.010789814801766662,1.0,0.006487481473966383,1.0,0.012589976939275146,1.0
239,0.0036743826053117438,-9.834210382738313,0.007205798046269862,-9.876682791428546,0.0035314154409581185,1.0,0.04247240869023372,1.0,0.04261896754928348,1.0
240,-0.11544561373824785,-15.581960960221062,-0.04690883872039464,-15.623294454962434,0.06853677501785321,2.0,0.04133349474137127,1.0,0.080035912672892,2.0
241,0.7533401552091168,-7.275809487246224,0.5298806478862557,-7.299616254255227,0.22345950732286113,5.0,0.023806767009003416,1.0,0.22472408319625378,5.0
242,-0.14023608432715629,-10.979552578206206,-0.1489512056029687,-11.038928271231566,0.00871512127581242,1.0,0.059375693025359055,2.0,0.060011884332137,2.0
243,0.045097385426764836,-7.897678408624099,0.14684260786182612,-7.943650269999388,0.10174522243506129,3.0,0.04597186137528908,1.0,0.11164901399774606,3.0
244,0.00930101544379897,-11.74216321209555,0.054469192295148794,-11.768786533219956,0.04516817685134982,1.0,0.02662332112440602,1.0,0.05243057722138922,2.0
245,-0.040617911763795256,-10.597360635284279,-0.05124404982039277,-10.628853178189386,0.010626138056597512,1.0,0.03149254290510761,1.0,0.03323695335959531,1.0
246,0.10696383207736346,-7.150441104579209,0.10347863826293047,-7.167488231558831,0.003485193814432991,1.0,0.017047126979622185,1.0,0.017399744658572566,1.0
247,-0.4027355155013789,-13.397687853281758,-0.2850905801370729,-13.435064554478828,0.11764493536430604,3.0,0.03737670119707026,1.0,0.1234396557401503,3.0
248,0.37525705381369606,-10.912369474138625,0.3069781969918397,-10.937791769056878,0.06827885682185636,2.0,0.02542229491825232,1.0,0.07285804943731446,2.0
249,-0.30177648127134116,-7.831551670216955,-0.2594838160359427,-7.848785751331054,0.04229266523539843,1.0,0.017234081114098743,1.0,0.04566927943991249,1.0
250,0.27908428048107925,-7.028941666514981,0.19512796901516394,-7.074167939573275,0.08395631146591531,2.0,0.04522627305829463,1.0,0.09536287542699837,3.0
251,0.01767857753676121,-18.84793157427193,0.03841583138185811,-18.895815209906026,0.020737253845096903,1.0,0.04788363563409703,2.0,0.05218118682604827,2.0
252,0.40780131702266764,-8.997135693749097,0.41258513991071055,-9.006567551817705,0.00478382288804291,1.0,0.009431858068607468,1.0,0.010575675299975837,1.0
253,0.46804899931643784,-13.298626289447716,0.32465630051182437,-13.365103686563558,0.14339269880461347,4.0,0.06647739711584144,2.0,0.15805287215918565,4.0
254,0.4815886300200315,-7.2538512652388825,0.46729391231960626,-7.268858721582433,0.01429471770042523,1.0,0.015007456343550274,1.0,0.0207258944327722,1.0
255,0.14933011560168089,-7.69034791979133,0.13744718837294156,-7.704404812443269,0.01188292722873932,1.0,0.014056892651939101,1.0,0.018406525759948666,1.0
256,1.0167695498843545,-10.317390868572437,0.7746309516085024,-10.377000621067161,0.24213859827585216,6.0,0.05960975249472433,2.0,0.24936804800831402,6.0
257,-0.2924902904433422,-11.740084288019377,-0.1395010184126173,-11.77893614304745,0.15298927203072488,4.0,0.038851855028072535,1.0,0.15784544337931805,4.0
258,-0.024981325637402442,-9.18786009760024,-0.09148405208928789,-9.230481126537706,0.06650272645188546,2.0,0.04262102893746622,1.0,0.07898838353341989,2.0
259,0.25498417948821595,-7.1436257798520835,0.2047797756606995,-7.1612529396602165,0.05020440382751645,2.0,0.01762715980813301,1.0,0.05320901170457697,2.0
