,eventID,groupID,RP_hit_in_group,Max_line_no
4821,20002343,2,3,5
4845,20002355,5,3,1
4851,20002358,5,3,1
4878,20002371,5,3,1
4882,20002373,5,3,1
4895,20002379,2,3,1
4930,20002396,2,3,1
4931,20002396,4,3,1
4958,20002410,1,3,3
5039,20002444,5,3,1
5073,20002461,4,3,4
5117,20002481,4,3,4
5123,20002484,1,3,1
5135,20002489,2,3,1
5162,20002501,2,3,1
5176,20002508,4,3,5
5187,20002513,1,3,1
5203,20002523,2,3,1
5204,20002523,4,3,1
5232,20002538,5,3,1
5242,20002544,1,3,3
5263,20002553,5,3,1
5280,20002562,1,3,4
5295,20002568,2,3,1
5312,20002576,1,3,1
5317,20002578,2,3,1
5327,20002583,1,3,4
5335,20002587,1,3,1
5380,20002610,2,3,1
5417,20002626,2,3,1
5433,20002633,4,3,1
5434,20002634,1,3,4
5482,20002657,1,3,1
5528,20002677,2,3,1
5544,20002685,2,3,1
5589,20002708,1,3,1
5631,20002729,5,3,1
5645,20002738,5,3,1
5654,20002744,1,3,1
5666,20002750,2,3,1
5712,20002772,4,3,1
5730,20002781,4,3,1
5789,20002810,1,3,2
5793,20002811,1,3,2
5795,20002812,1,3,1
5825,20002828,1,3,3
5842,20002836,2,3,1
5875,20002851,5,3,1
5900,20002863,5,3,1
5914,20002870,1,3,1
5958,20002893,2,3,1
6010,20002920,2,3,1
6025,20002927,2,3,2
6030,20002929,5,3,1
6135,20002979,2,3,2
6136,20002979,3,3,3
6155,20002988,2,3,2
6200,20003012,2,3,2
6262,20003040,2,3,1
6309,20003066,5,3,1
6317,20003069,6,3,3
6371,20003099,1,3,1
6389,20003107,5,3,1
6417,20003120,4,3,1
6439,20003131,4,3,1
6456,20003140,1,3,1
6464,20003144,2,3,1
6488,20003156,4,3,1
6496,20003160,5,3,2
6529,20003175,1,3,4
6556,20003187,2,3,1
6583,20003200,1,3,1
6586,20003201,5,3,1
6604,20003210,5,3,1
6610,20003212,5,3,1
6631,20003222,4,3,1
6632,20003223,2,3,1
6645,20003229,5,3,1
6722,20003267,4,3,1
6727,20003269,5,3,1
6742,20003276,1,3,1
6794,20003303,4,3,1
6797,20003305,1,3,1
6800,20003306,4,3,1
6819,20003315,2,3,1
6853,20003330,4,3,2
6855,20003330,6,3,4
6860,20003333,1,3,1
6870,20003338,2,3,1
6901,20003352,5,3,1
6940,20003370,4,3,2
6964,20003381,2,3,1
6980,20003390,2,3,1
6983,20003391,5,3,1
6995,20003397,1,3,3
6996,20003397,5,3,1
6999,20003399,2,3,1
7020,20003409,3,3,1
7067,20003431,2,3,1
7098,20003445,5,3,4
7116,20003455,5,3,2
7117,20003455,6,3,3
7119,20003456,4,3,4
7149,20003470,5,3,1
7153,20003472,5,3,1
7157,20003474,5,3,3
7185,20003488,2,3,1
7222,20003507,4,3,1
7235,20003513,1,3,3
7261,20003524,2,3,1
7295,20003540,1,3,1
7305,20003545,2,3,1
7331,20003558,4,3,1
7343,20003565,2,3,1
7355,20003571,4,3,1
7391,20003589,5,3,3
7396,20003592,1,3,1
7409,20003597,5,3,4
7435,20003610,5,3,1
7464,20003626,1,3,1
7483,20003635,4,3,1
7505,20003648,2,3,1
7507,20003649,1,3,2
7513,20003652,1,3,1
7640,20003714,1,3,1
7661,20003724,2,3,1
7686,20003736,1,3,3
7701,20003743,4,3,1
7714,20003749,5,3,1
7734,20003758,4,3,1
7746,20003764,5,3,1
7754,20003768,1,3,1
7781,20003779,4,3,1
7794,20003786,1,3,1
7841,20003806,4,3,1
7906,20003837,5,3,1
7937,20003851,4,3,1
7943,20003854,5,3,1
7991,20003877,2,3,1
7992,20003877,4,3,2
7993,20003878,2,3,2
8000,20003881,4,3,3
8003,20003884,1,3,2
8021,20003894,1,3,1
8032,20003899,5,3,1
8046,20003907,2,3,1
8048,20003908,1,3,4
8049,20003908,2,3,2
8080,20003923,4,3,4
8081,20003924,2,3,1
8082,20003924,4,3,1
8089,20003927,4,3,2
8090,20003927,5,3,4
8091,20003927,6,3,3
8113,20003939,2,3,1
8115,20003940,2,3,1
8164,20003965,1,3,1
8169,20003967,5,3,1
8183,20003974,4,3,1
8195,20003979,5,3,1
8232,20003997,4,3,3
8258,20004008,1,3,2
8273,20004016,2,3,1
8285,20004022,2,3,1
8301,20004029,1,3,1
8316,20004036,4,3,1
8322,20004039,5,3,1
8343,20004050,4,3,1
8362,20004060,2,3,2
8385,20004071,2,3,2
8386,20004071,4,3,1
8388,20004072,5,3,3
8517,20004134,2,3,1
8559,20004153,2,3,1
8563,20004155,1,3,1
8591,20004169,2,3,1
8635,20004188,4,3,2
8646,20004193,2,3,1
8658,20004199,1,3,1
8687,20004212,5,3,1
8727,20004232,5,3,3
8793,20004267,1,3,1
8855,20004298,2,3,1
8858,20004299,2,3,1
8868,20004304,2,3,1
8901,20004320,5,3,1
8931,20004336,1,3,1
8933,20004337,1,3,1
8937,20004339,1,3,1
8951,20004346,2,3,1
8966,20004353,5,3,1
8977,20004358,1,3,4
8995,20004366,4,3,3
8996,20004366,5,3,2
9010,20004374,4,3,1
9012,20004375,2,3,1
9054,20004395,1,3,1
9085,20004411,4,3,1
9121,20004429,5,3,1
9180,20004458,5,3,1
9185,20004460,2,3,1
9200,20004467,4,3,1
9205,20004470,2,3,1
9231,20004483,1,3,1
9268,20004503,1,3,1
9279,20004507,5,3,1
9281,20004509,5,3,1
9287,20004512,5,3,1
9291,20004514,2,3,4
9322,20004527,2,3,4
9379,20004554,2,3,1
9405,20004566,1,3,3
9450,20004587,4,3,1
9453,20004589,2,3,1
9499,20004609,2,3,1
9501,20004610,2,3,1
9551,20004637,2,3,1
9572,20004647,1,3,1
9609,20004666,2,3,1
9617,20004670,1,3,1
9676,20004697,5,3,1
9678,20004698,5,3,1
9688,20004703,1,3,1
9714,20004716,1,3,1
9735,20004727,1,3,2
9759,20004740,1,3,1
9773,20004746,2,3,1
9781,20004749,4,3,1
9816,20004769,2,3,2
9819,20004770,5,3,1
9820,20004771,2,3,1
9828,20004775,1,3,2
9945,20004830,4,3,1
10031,20004873,2,3,1
10051,20004883,2,3,1
10074,20004894,2,3,1
10119,20004916,2,3,1
10167,20004938,2,3,1
10168,20004938,4,3,1
10173,20004941,2,3,1
10213,20004961,1,3,2
