,recoID,eventID,groupID,x,y,z,dx,dy,dz,exec_time[s],dist_max,dist_sum,dist_avg,chi2,chi2_N,dx_dz_angle [mrad],dy_dz_angle [mrad],tracks_in_det_no,tracks_out_det_no,track_type,trackID
0,100,20000001,4,0.182880275708,18.9988471883,212980.0,3.65799350136e-06,0.000379977291188,0.999999927802,0.05155014991760254,0.164705711176,1.18148648401,0.0537039310912,42.97678883,2.52804640176,0.00365799376545,0.379977300334,22,0,_12_1X1_3RP_MORE,0
1,100,20000022,5,2.01711746406,-20.2725248699,212980.0,4.03427310194e-05,-0.000405450085172,0.999999916991,0.025828123092651367,0.741032221067,7.8201290298,0.269659621717,1851.98457004,77.1660237517,0.0403427343463,-0.405450096611,29,0,_11_1X1_3RP_1X1,0
2,100,20000040,2,9.87594975994,-6.83208951769,-212980.0,0.000197519369288,-0.000136641418383,-0.999999971158,0.024976015090942383,2.88521680988,36.89865887,1.31780924536,39752.9399484,1728.38869341,-0.197519372416,0.136641421474,28,0,_11_1X1_3RP_1X1,0
3,100,20000058,2,0.0404133169769,-6.19174856322,-212984.0,8.0865355258e-07,-0.000123834604306,-0.999999992332,0.02815699577331543,0.975970368679,3.0619758524,0.105585374221,931.97747824,38.8323949267,-0.000808653558781,0.123834604623,29,0,_11_1X1_3RP_1X1,0
4,100,20000059,4,-0.220356909154,8.8760415139,212980.0,-4.45037260693e-06,0.00017941785808,0.999999983895,0.06285715103149414,0.0857400864443,1.08532482638,0.0361774942127,28.4405913507,1.13762365403,-0.00445037267858,0.179417859044,30,0,_11_1X1_3RP_1X1,0
5,100,20000086,1,-0.143712360578,7.4981954404,-212980.0,-2.83495981772e-06,0.000151837074435,-0.999999988469,0.06323599815368652,0.113668321803,1.33753456673,0.047769091669,47.2453001056,2.05414348285,0.0028349598504,-0.151837075019,28,0,_11_1X1_3RP_1X1,0
6,100,20000092,2,0.242205022564,-7.40327827826,-212980.0,4.84448759703e-06,-0.000148065194442,-0.999999989027,0.02689504623413086,0.051947505809,0.455968843704,0.015723063576,5.39365638187,0.224735682578,-0.00484448765016,0.148065194984,29,0,_11_1X1_3RP_1X1,0
7,100,20000102,5,0.00365097393396,-17.7217101718,212980.0,7.34061728122e-08,-0.000354433804471,0.999999937188,0.028493881225585938,0.0991879365442,0.791439628668,0.0272910216782,18.0772826038,0.753220108491,7.34061774229e-05,-0.354433811892,29,0,_11_1X1_3RP_1X1,0
8,100,20000124,4,-0.102586343175,8.7873181257,212980.0,-2.05135373726e-06,0.000175746728948,0.999999984554,0.022995948791503906,0.0503727000836,0.437374769226,0.015081888594,5.57419272173,0.232258030072,-0.00205135376894,0.175746729853,29,0,_11_1X1_3RP_1X1,0
9,100,20000125,1,-0.235678913825,14.364488774,-212980.0,-4.70121984478e-06,0.000289167849735,-0.99999995818,0.04003500938415527,0.131517031107,1.45042739085,0.0518009782447,56.1578992346,2.44164779281,0.00470122004135,-0.289167853768,28,0,_11_1X1_3RP_1X1,0
10,100,20000139,5,0.174761410215,-8.00181324423,212980.0,3.49561466904e-06,-0.000160035892235,0.999999987188,0.01783919334411621,0.0763939370291,0.872998679329,0.0290999559776,17.3168082135,0.692672328539,0.00349561471381,-0.160035892919,30,0,_11_1X1_3RP_1X1,0
