,eventID,groupID,RP_hit_in_group,Max_line_no
57,1400026,2,3,1
65,1400029,5,3,1
114,1400055,2,3,1
130,1400064,4,3,2
150,1400072,2,3,1
184,1400088,2,3,1
231,1400110,1,3,2
234,1400111,4,3,1
241,1400115,1,3,2
242,1400115,5,3,1
256,1400123,5,3,2
277,1400134,1,3,1
301,1400145,5,3,1
348,1400168,2,3,1
373,1400183,2,3,1
388,1400190,5,3,4
401,1400198,4,3,1
402,1400199,2,3,1
438,1400216,2,3,1
447,1400220,2,3,1
449,1400220,4,3,1
452,1400222,1,3,1
470,1400231,1,3,1
530,1400260,1,3,1
537,1400263,4,3,1
703,1400342,4,3,1
709,1400344,5,3,1
736,1400358,1,3,1
744,1400362,2,3,1
796,1400388,1,3,1
836,1400409,2,3,1
838,1400410,2,3,1
849,1400414,5,3,1
857,1400418,4,3,1
859,1400419,5,3,2
868,1400424,2,3,1
878,1400429,2,3,1
884,1400432,1,3,4
885,1400432,2,3,5
900,1400438,5,3,1
983,1400475,5,3,1
1069,1400518,2,3,1
1093,1400531,1,3,1
1138,1400552,1,3,1
1146,1400556,1,3,1
1173,1400570,4,3,1
1235,1400599,5,3,1
1242,1400603,2,3,1
1261,1400611,5,3,1
1269,1400616,5,3,1
1298,1400628,4,3,1
1311,1400635,2,3,1
1315,1400637,1,3,1
1320,1400639,4,3,1
1333,1400645,5,3,1
1342,1400648,5,3,2
1437,1400693,2,3,1
1448,1400698,5,3,1
1453,1400701,2,3,1
1516,1400734,4,3,1
1531,1400742,2,3,1
1542,1400747,5,3,1
1580,1400766,1,3,1
1604,1400779,2,3,1
1610,1400782,2,3,1
1612,1400783,1,3,1
1640,1400797,2,3,1
1650,1400802,2,3,2
1652,1400803,2,3,1
1664,1400809,1,3,1
1700,1400826,2,3,1
1711,1400831,4,3,1
1712,1400832,2,3,1
1722,1400836,4,3,1
1729,1400840,2,3,1
1749,1400849,2,3,1
1759,1400854,2,3,1
1785,1400866,1,3,2
1828,1400884,2,3,1
1861,1400900,2,3,2
1862,1400900,4,3,1
1868,1400903,5,3,1
1900,1400920,2,3,1
1902,1400921,2,3,1
1927,1400933,1,3,2
1929,1400934,2,3,1
1945,1400942,1,3,4
2035,1400988,5,3,1
2037,1400989,4,3,1
2040,1400991,2,3,1
2053,1400997,4,3,3
