,rpId,direction,x,y,z,dx,dy
0,0,u,0.51389,56.0044,-203.379,-0.707107,0.707107
1,0,v,-0.51389,56.0044,-203.375,0.707107,0.707107
2,1,u,-0.51389,-56.3534,-203.379,0.707107,-0.707107
3,1,v,0.51389,-56.3534,-203.375,-0.707107,-0.707107
4,2,u,57.1404,-0.51389,-203.829,0.707107,0.707107
5,2,v,57.1404,0.51389,-203.825,0.707107,-0.707107
6,3,u,21.76332,2.88836,-212.552,0.6063464,0.7952004
7,3,v,21.62044,3.90636,-212.548,0.7952008,-0.6063462
8,4,u,-2.429044,19.84692,-213.002,-0.7980146,0.6026382
9,4,v,-3.447188,19.70232,-212.998,0.6026378,0.7980142
10,5,u,2.56157,-20.20066,-213.002,0.7991562,-0.6011224
11,5,v,3.57807,-20.05742,-212.998,-0.6011228,-0.7991562
12,20,u,-0.0364781,20.3289,-214.63,-0.7071208,0.7070926
13,20,v,-1.063464,20.32806,-214.626,0.7070928,0.7071204
14,21,u,-0.881522,-20.58466,-214.63,0.7076354,-0.7065776
15,21,v,0.159352,-20.59776,-214.626,-0.7065778,-0.7076352
16,22,u,21.6943,0.585986,-215.08,0.7122242,0.701952
17,22,v,21.6943,1.613794,-215.076,0.7019512,-0.7122248
18,23,u,21.21832,-0.284946,-219.552,0.7085046,0.7057062
19,23,v,21.21756,0.741274,-219.548,0.705706,-0.7085048
20,24,u,0.39649,20.7759,-220.002,-0.7069212,0.707292
21,24,v,-0.631354,20.77582,-219.998,0.7072924,0.7069212
22,25,u,-0.390628,-21.12532,-220.002,0.7071656,-0.7070478
23,25,v,0.637126,-21.12538,-219.998,-0.7070478,-0.7071658
24,100,u,-0.51389,56.0124,203.379,0.707107,0.707107
25,100,v,0.51389,56.0124,203.375,-0.707107,0.707107
26,101,u,0.51389,-56.0594,203.379,-0.707107,-0.707107
27,101,v,-0.51389,-56.0594,203.375,0.707107,-0.707107
28,102,u,57.1294,0.51389,203.829,0.707107,-0.707107
29,102,v,57.1294,-0.51389,203.825,0.707107,0.707107
30,103,u,21.84384,4.052602,212.552,0.796575,-0.6045394
31,103,v,21.98696,3.034962,212.548,0.6045396,0.796575
32,104,u,-3.423844,19.96984,213.002,0.6021002,0.7984204
33,104,v,-2.406074,20.11288,212.998,-0.7984204,0.6021
34,105,u,3.716094,-19.9722,213.002,-0.6018766,-0.798589
35,105,v,2.698608,-20.11544,212.998,0.7985892,-0.6018762
36,120,u,0.13301404,22.03014,214.63,0.6930786,0.7208618
37,120,v,1.159096,22.03186,214.626,-0.7208618,0.6930788
38,121,u,0.411922,-20.57132,214.63,-0.7079816,-0.7062308
39,121,v,-0.616112,-20.57054,214.626,0.7062306,-0.7079818
40,122,u,21.78188,1.64786,215.08,0.7036072,-0.7105892
41,122,v,21.78188,0.620082,215.076,0.7105892,0.7036072
42,123,u,21.07018,0.5801,219.552,0.704162,-0.7100394
43,123,v,21.06992,-0.447432,219.548,0.7100394,0.7041618
44,124,u,-1.070304,21.0099,220.002,0.707696,0.7065168
45,124,v,-0.0424981,21.00996,219.998,-0.706517,0.7076956
46,125,u,-0.197488,-21.19612,220.002,-0.7059056,-0.7083056
47,125,v,-1.224992,-21.1963,219.998,0.7083052,-0.7059058
