,rpId,direction,x,y,z,dx,dy
0,0,u,0.51389,56.0044,-203.379,-0.707107,0.707107
1,0,v,-0.51389,56.0044,-203.375,0.707107,0.707107
2,1,u,-0.51389,-56.3534,-203.379,0.707107,-0.707107
3,1,v,0.51389,-56.3534,-203.375,-0.707107,-0.707107
4,2,u,57.1404,-0.51389,-203.829,0.707107,0.707107
5,2,v,57.1404,0.51389,-203.825,0.707107,-0.707107
6,3,u,21.7502,2.865416,-212.552,0.6062808,0.7952504
7,3,v,21.60724,3.883302,-212.548,0.7952502,-0.6062808
8,4,u,-2.44224,19.8215,-213.002,-0.798069,0.6025662
9,4,v,-3.459844,19.67742,-212.998,0.602566,0.7980682
10,5,u,2.554242,-20.22082,-213.002,0.7992684,-0.6009732
11,5,v,3.570908,-20.07826,-212.998,-0.6009736,-0.7992682
12,20,u,-0.04265211,20.3113,-214.63,-0.7071722,0.7070418
13,20,v,-1.071794,20.30836,-214.626,0.7070414,0.7071716
14,21,u,-0.88791,-20.5842,-214.63,0.7076878,-0.7065252
15,21,v,0.15128,-20.59562,-214.626,-0.7065248,-0.7076882
16,22,u,21.68198,0.563408,-215.08,0.7122232,0.7019528
17,22,v,21.682,1.591194,-215.076,0.7019534,-0.7122226
18,23,u,21.20974,-0.316216,-219.552,0.7085326,0.7056778
19,23,v,21.20892,0.710272,-219.548,0.7056776,-0.708533
20,24,u,0.395278,20.74848,-220.002,-0.7068978,0.7073154
21,24,v,-0.632176,20.74804,-219.998,0.7073154,0.7068984
22,25,u,-0.3954,-21.15472,-220.002,0.7069802,-0.7072336
23,25,v,0.633888,-21.15628,-219.998,-0.7072336,-0.7069802
24,100,u,-0.51389,56.0124,203.379,0.707107,0.707107
25,100,v,0.51389,56.0124,203.375,-0.707107,0.707107
26,101,u,0.51389,-56.0594,203.379,-0.707107,-0.707107
27,101,v,-0.51389,-56.0594,203.375,0.707107,-0.707107
28,102,u,57.1294,0.51389,203.829,0.707107,-0.707107
29,102,v,57.1294,-0.51389,203.825,0.707107,0.707107
30,103,u,21.84022,3.968602,212.552,0.796602,-0.6045038
31,103,v,21.98228,2.951754,212.548,0.604504,0.796602
32,104,u,-3.424184,19.88382,213.002,0.6020656,0.7984464
33,104,v,-2.406584,20.02666,212.998,-0.7984464,0.6020658
34,105,u,3.717084,-20.05818,213.002,-0.6018972,-0.7985734
35,105,v,2.698966,-20.2017,212.998,0.7985734,-0.6018974
36,120,u,0.13127004,21.949,214.63,0.6930244,0.720914
37,120,v,1.15913,21.94904,214.626,-0.7209138,0.6930244
38,121,u,0.412764,-20.66036,214.63,-0.7079742,-0.7062382
39,121,v,-0.615024,-20.66032,214.626,0.706238,-0.707974
40,122,u,21.777,1.55602,215.08,0.703591,-0.7106052
41,122,v,21.77698,0.528242,215.076,0.7106054,0.703591
42,123,u,21.05832,0.473424,219.552,0.7041554,-0.7100458
43,123,v,21.05804,-0.553892,219.548,0.7100458,0.7041552
44,124,u,-1.072152,20.90708,220.002,0.7075926,0.7066206
45,124,v,-0.0443501,20.9071,219.998,-0.7066204,0.7075928
46,125,u,-0.198212,-21.30158,220.002,-0.7058326,-0.7083784
47,125,v,-1.22563,-21.30138,219.998,0.708378,-0.7058326
