,track_type,eventID,groupID,exec_time[s],chi2_N,dist_avg,dx_dz_angle [mrad],dy_dz_angle [mrad]
0,_11_1X1_3RP_1X1,11,2,0.02367806434631348,1.59464682075,0.0360249336908,0.0064245480761699995,0.18733303804999998
1,_21_2X2_3RP_ENOUGH,11,4,0.4871410131454468,266.194948937,0.33827741363200003,-0.0292984845508,0.157550938655
2,_21_2X2_3RP_ENOUGH,11,4,0.4871410131454468,386.44375155,0.418514535335,0.0231600739866,0.156674081771
3,_11_1X1_3RP_1X1,31,1,0.04338407516479492,11.749415808299998,0.0757533425012,-0.0031681302097299998,-0.149210552389
4,_11_1X1_3RP_1X1,52,4,0.025923967361450195,1.8581652834599998,0.0449818872452,-0.00316076475949,0.23986808144000002
5,_11_1X1_3RP_1X1,55,2,0.023087024688720703,6.82204890114,0.0780938097531,0.0144277572742,0.139287784597
6,_11_1X1_3RP_1X1,59,1,0.04103517532348633,2.5534612693,0.0295779623198,0.00441003038981,-0.168656069936
7,_12_1X1_3RP_MORE,78,1,0.07946610450744629,0.254704989788,0.015134453546299999,0.00241467649504,-0.137442135634
8,_11_1X1_3RP_1X1,85,1,0.0416569709777832,0.824604788153,0.0253603059094,-0.0024116999201999998,-0.250918017679
9,_12_1X1_3RP_MORE,135,4,0.039513826370239265,0.427947747854,0.0227460999361,-0.00111510711539,0.259095171133
10,_12_1X1_3RP_MORE,137,4,0.04576706886291504,36.1788251283,0.200079313935,-0.005756567057430001,0.202934214622
11,_11_1X1_3RP_1X1,143,2,0.021159887313842773,1.30746992841,0.03740698818930001,0.000575938066726,0.13519156827
12,_11_1X1_3RP_1X1,161,2,0.01762700080871582,0.264613016858,0.0141956550174,-0.00024724912137,0.14293443382999999
13,_11_1X1_3RP_1X1,194,4,0.02335500717163086,7.32175679284,0.081933666652,-0.00827610262642,0.156132131259
14,_11_1X1_3RP_1X1,219,4,0.040948152542114265,0.47673486748899996,0.0204316630618,0.0045939611646699996,0.204378142189
15,_12_1X1_3RP_MORE,232,2,0.0329740047454834,0.980424466372,0.0326795773171,-0.00799226202959,0.137238319475
16,_11_1X1_3RP_1X1,237,5,0.02200794219970703,0.196677129014,0.014581781121700001,0.0006188250243140001,-0.132393498055
17,_11_1X1_3RP_1X1,245,2,0.02214908599853516,0.519531783256,0.022012287519400004,0.0065872674685200005,0.131401390887
18,_21_2X2_3RP_ENOUGH,254,2,1.4928430318832395,136.408257519,0.25509519340500003,-0.0196347300044,0.146480600874
19,_21_2X2_3RP_ENOUGH,254,2,1.4928430318832395,253.1996148,0.32504834889199996,0.020568307015,0.141430252915
20,_21_2X2_3RP_ENOUGH,254,4,0.3869584798812866,50.94510078729999,0.176718276293,0.0123949127432,0.146597515902
21,_21_2X2_3RP_ENOUGH,254,4,0.3869584798812866,162.42344940700002,0.27890253827,-0.0142190439096,0.140475877644
22,_11_1X1_3RP_1X1,256,2,0.033819913864135735,235.41860141,0.484538684253,-0.0777458303555,0.27477523741500004
23,_12_1X1_3RP_MORE,262,4,0.05393290519714356,3342.30994928,1.51387206946,0.0444190268186,0.205925438439
24,_11_1X1_3RP_1X1,268,4,0.02034997940063477,2.29612135837,0.0386459998635,-0.0024665518202399996,0.267239198433
25,_12_1X1_3RP_MORE,270,4,0.08839797973632812,2.72890594917,0.056989132262900005,-0.00762338093756,0.22687589571999997
26,_12_1X1_3RP_MORE,277,5,0.03249692916870117,0.522413077491,0.0230469243073,-0.005408465480470001,-0.24769376044100003
27,_12_1X1_3RP_MORE,283,1,0.02916693687438965,0.180129812034,0.012119069710899998,0.00134108163848,-0.17820420610800003
28,_21_2X2_3RP_ENOUGH,305,2,0.4356285333633423,0.479999112826,0.0206674364266,0.00227143020875,0.152014401587
29,_21_2X2_3RP_ENOUGH,305,2,0.4356285333633423,0.750042808495,0.021079219461,0.00036978309426400003,0.240561483188
30,_21_2X2_3RP_ENOUGH,305,4,0.3950110673904419,0.208099991622,0.015657442516,-0.00154546764376,0.17006873017299998
31,_21_2X2_3RP_ENOUGH,305,4,0.3950110673904419,0.231422262134,0.0168468746224,-0.00105148797778,0.240847687746
32,_11_1X1_3RP_1X1,324,5,0.02226591110229492,44829.353751099996,4.82776640298,0.115664245927,-0.654196848455
33,_21_2X2_3RP_ENOUGH,329,2,0.2786365747451782,3.84410816552,0.06392817816480001,-0.0136874045451,0.13256933640000002
34,_21_2X2_3RP_ENOUGH,329,2,0.2786365747451782,0.655879814681,0.025838458813400002,-0.006782236107439999,0.164617718512
35,_21_2X2_3RP_ENOUGH,329,4,0.5440604686737059,212.119352166,0.319076289946,-0.013484314582799998,0.153220823028
36,_21_2X2_3RP_ENOUGH,329,4,0.5440604686737059,271.647919759,0.366694041732,0.0319225653358,0.151043349648
37,_12_1X1_3RP_MORE,341,4,0.029407978057861325,1.38585298122,0.033943639204,0.00175056752064,0.306145410631
38,_11_1X1_3RP_1X1,345,5,0.019397974014282227,0.552121657248,0.0231918443367,-0.0027441101858800003,-0.16002143581800002
39,_11_1X1_3RP_1X1,365,1,0.04616999626159668,0.760972324413,0.0293357716507,-0.00047553943867400004,-0.158277724777
40,_11_1X1_3RP_1X1,376,2,0.029058218002319336,2.1584867439099997,0.0464419345124,-0.00218750895162,0.196401652758
41,_12_1X1_3RP_MORE,386,1,0.05261802673339844,3024.87448547,1.65516513123,0.0941547615679,-0.424946353271
42,_12_1X1_3RP_MORE,398,1,0.033238887786865234,0.20033518807700001,0.012158790556099999,0.0019016841190199999,-0.219088518255
