,recoID,eventID,groupID,x,y,z,dx,dy,dz,exec_time[s],dist_max,dist_sum,dist_avg,chi2,chi2_N,dx_dz_angle [mrad],dy_dz_angle [mrad],tracks_in_det_no,tracks_out_det_no,track_type,trackID
0,7,11,2,-0.321246787888,-9.36667055983,-212980.0,-6.4245479634e-06,-0.00018733303695,-0.999999982433,0.023678064346313477,0.129180219301,1.04472307703,0.0360249336908,38.2715236981,1.59464682075,0.00642454807617,0.18733303805,29,0,_11_1X1_3RP_1X1,0
1,7,11,4,-1.4892660796,7.90070976909,212980.0,-2.9298484183e-05,0.000157550937936,0.99999998716,0.4871410131454468,1.85534973252,9.81004499532,0.338277413632,6388.6787745,266.194948937,-0.0292984845508,0.157550938655,29,0,_21_2X2_3RP_ENOUGH,0
2,7,11,4,1.15928397731,7.83269139577,212980.0,2.31600737003e-05,0.000156674081088,0.999999987458,0.4871410131454468,2.04571757305,12.5554360601,0.418514535335,9661.09378875,386.44375155,0.0231600739866,0.156674081771,30,0,_21_2X2_3RP_ENOUGH,1
3,7,31,1,0.15822044618,7.46051200987,-212980.0,3.16813017446e-06,0.000149210551834,-0.999999988863,0.04338407516479492,0.463192103925,2.42410696004,0.0757533425012,317.234226825,11.7494158083,-0.00316813020973,-0.149210552389,32,0,_11_1X1_3RP_1X1,0
4,7,52,4,-0.158056898133,11.9933859656,212980.0,-3.16076466855e-06,0.000239868079138,0.999999971227,0.025923967361450195,0.133056363425,1.30447473011,0.0449818872452,44.595966803,1.85816528346,-0.00316076475949,0.23986808144,29,0,_11_1X1_3RP_1X1,0
5,7,55,2,-0.721472094668,-6.96408102965,-212980.0,-1.44277571338e-05,-0.000139287784132,-0.999999990195,0.023087024688720703,0.21739393338,2.18662667309,0.0780938097531,156.907124726,6.82204890114,0.0144277572742,0.139287784597,28,0,_11_1X1_3RP_1X1,0
6,7,59,1,-0.225709494182,8.44566347848,-212980.0,-4.41003032707e-06,0.000168656069135,-0.999999985768,0.04103517532348633,0.345104563625,0.857760907274,0.0295779623198,61.2830704633,2.5534612693,0.00441003038981,-0.168656069936,29,0,_11_1X1_3RP_1X1,0
7,7,78,1,-0.128262679586,6.89164077849,-212980.0,-2.41467647223e-06,0.0001374421352,-0.999999990552,0.07946610450744629,0.0517864941686,0.287554617379,0.0151344535463,3.56586985704,0.254704989788,0.00241467649504,-0.137442135634,19,0,_12_1X1_3RP_MORE,0
8,7,85,1,0.120191387063,12.451512593,-212980.0,2.41169984428e-06,0.000250918015046,-0.999999968517,0.0416569709777832,0.106554245698,0.710088565464,0.0253603059094,18.9659101275,0.824604788153,-0.0024116999202,-0.250918017679,28,0,_11_1X1_3RP_1X1,0
9,7,135,4,-0.0557737484724,12.9547407124,212980.0,-1.11510707797e-06,0.000259095168234,0.999999966434,0.03951382637023926,0.0444956255719,0.432175898786,0.0227460999361,5.99126846996,0.427947747854,-0.00111510711539,0.259095171133,19,0,_12_1X1_3RP_MORE,0
10,7,137,4,-0.287846757705,10.1466926328,212980.0,-5.75656693886e-06,0.000202934213226,0.999999979392,0.04576706886291504,0.392519537313,3.80150696477,0.200079313935,506.503551796,36.1788251283,-0.00575656705743,0.202934214622,19,0,_12_1X1_3RP_MORE,0
11,7,143,2,-0.0288162740523,-6.75959690593,-212980.0,-5.75938061463e-07,-0.000135191567858,-0.999999990861,0.021159887313842773,0.120774830602,1.08480265749,0.0374069881893,31.3792782818,1.30746992841,0.000575938066726,0.13519156827,29,0,_11_1X1_3RP_1X1,0
12,7,161,2,0.0123430874771,-7.14674020586,-212980.0,2.47249118844e-07,-0.000142934433343,-0.999999989785,0.01762700080871582,0.0707024285943,0.411673995506,0.0141956550174,6.35071240459,0.264613016858,-0.00024724912137,0.14293443383,29,0,_11_1X1_3RP_1X1,0
13,7,194,4,-0.413823712015,7.80658822044,212980.0,-8.27610252545e-06,0.000156132130619,0.999999987777,0.02335500717163086,0.409783913818,2.45800999956,0.081933666652,183.043919821,7.32175679284,-0.00827610262642,0.156132131259,30,0,_11_1X1_3RP_1X1,0
14,7,219,4,0.232273370284,10.123473144,212980.0,4.59396106871e-06,0.000204378140764,0.999999979104,0.04094815254211426,0.112216587855,0.612949891854,0.0204316630618,11.9183716872,0.476734867489,0.00459396116467,0.204378142189,30,0,_11_1X1_3RP_1X1,0
15,7,232,2,0.399593476778,-6.86193380713,-212980.0,7.99226195424e-06,-0.00013723831904,-0.999999990551,0.0329740047454834,0.0733519099139,0.653591546342,0.0326795773171,14.7063669956,0.980424466372,-0.00799226202959,0.137238319475,20,0,_12_1X1_3RP_MORE,0
16,7,237,5,0.0309218824938,-6.61969338444,212980.0,6.1882501889e-07,-0.000132393497668,0.999999991236,0.02200794219970703,0.0489789169136,0.422871652531,0.0145817811217,4.72025109634,0.196677129014,0.000618825024314,-0.132393498055,29,0,_11_1X1_3RP_1X1,0
17,7,245,2,-0.329382754887,-6.57008802626,-212980.0,-6.5872674116e-06,-0.000131401390506,-0.999999991345,0.022149085998535156,0.102048495621,0.638356338064,0.0220122875194,12.4687627981,0.519531783256,0.00658726746852,0.131401390887,29,0,_11_1X1_3RP_1X1,0
18,7,254,2,0.981717209288,-7.3240485543,-212980.0,1.96347297925e-05,-0.000146480600321,-0.999999989079,1.4928430318832397,1.18005989463,7.39776060875,0.255095193405,3273.79818046,136.408257519,-0.0196347300044,0.146480600874,29,0,_21_2X2_3RP_ENOUGH,0
